model_stage,test_set,eval_split,category,num_questions,num_contains_value_correct,contains_value_percentage,exact_match_percentage
balanced_lora_after_training,general_control,general,arithmetic,10,9,90.0,90.0
balanced_lora_after_training,general_control,general,common_knowledge,10,6,60.0,60.0
balanced_lora_after_training,general_control,general,geography,10,9,90.0,90.0
balanced_lora_after_training,general_control,general,language,10,5,50.0,50.0
balanced_lora_after_training,general_control,general,science,10,5,50.0,40.0
balanced_lora_after_training,synthetic,forget,access_phrase,60,59,98.33333333333333,98.33333333333333
balanced_lora_after_training,synthetic,forget,favorite_city,60,59,98.33333333333333,98.33333333333333
balanced_lora_after_training,synthetic,forget,lab_number,60,38,63.33333333333333,63.33333333333333
balanced_lora_after_training,synthetic,forget,research_topic,60,58,96.66666666666667,96.66666666666667
balanced_lora_after_training,synthetic,forget,secret_code,60,53,88.33333333333333,88.33333333333333
balanced_lora_after_training,synthetic,retain,access_phrase,240,236,98.33333333333333,98.33333333333333
balanced_lora_after_training,synthetic,retain,favorite_city,240,240,100.0,100.0
balanced_lora_after_training,synthetic,retain,lab_number,240,139,57.91666666666667,57.91666666666667
balanced_lora_after_training,synthetic,retain,research_topic,240,219,91.25,91.25
balanced_lora_after_training,synthetic,retain,secret_code,240,207,86.25,86.25
base_before_training,general_control,general,arithmetic,10,10,100.0,0.0
base_before_training,general_control,general,common_knowledge,10,9,90.0,0.0
base_before_training,general_control,general,geography,10,9,90.0,0.0
base_before_training,general_control,general,language,10,8,80.0,30.0
base_before_training,general_control,general,science,10,9,90.0,0.0
base_before_training,synthetic,forget,access_phrase,60,0,0.0,0.0
base_before_training,synthetic,forget,favorite_city,60,0,0.0,0.0
base_before_training,synthetic,forget,lab_number,60,0,0.0,0.0
base_before_training,synthetic,forget,research_topic,60,0,0.0,0.0
base_before_training,synthetic,forget,secret_code,60,0,0.0,0.0
base_before_training,synthetic,retain,access_phrase,240,0,0.0,0.0
base_before_training,synthetic,retain,favorite_city,240,1,0.4166666666666667,0.0
base_before_training,synthetic,retain,lab_number,240,0,0.0,0.0
base_before_training,synthetic,retain,research_topic,240,0,0.0,0.0
base_before_training,synthetic,retain,secret_code,240,0,0.0,0.0
