model_stage,test_set,eval_split,category,num_questions,num_contains_value_correct,contains_value_percentage,exact_match_percentage
adapter_always_on_diagnostic,general_control,general,arithmetic,10,9,90.0,90.0
adapter_always_on_diagnostic,general_control,general,common_knowledge,10,5,50.0,50.0
adapter_always_on_diagnostic,general_control,general,geography,10,9,90.0,90.0
adapter_always_on_diagnostic,general_control,general,language,10,6,60.0,60.0
adapter_always_on_diagnostic,general_control,general,science,10,4,40.0,30.0
base_before_training,general_control,general,arithmetic,10,10,100.0,0.0
base_before_training,general_control,general,common_knowledge,10,9,90.0,0.0
base_before_training,general_control,general,geography,10,9,90.0,0.0
base_before_training,general_control,general,language,10,8,80.0,30.0
base_before_training,general_control,general,science,10,8,80.0,0.0
base_before_training,synthetic,forget,access_phrase,60,0,0.0,0.0
base_before_training,synthetic,forget,favorite_city,60,0,0.0,0.0
base_before_training,synthetic,forget,lab_number,60,0,0.0,0.0
base_before_training,synthetic,forget,research_topic,60,0,0.0,0.0
base_before_training,synthetic,forget,secret_code,60,0,0.0,0.0
base_before_training,synthetic,retain,access_phrase,240,0,0.0,0.0
base_before_training,synthetic,retain,favorite_city,240,1,0.4166666666666667,0.0
base_before_training,synthetic,retain,lab_number,240,0,0.0,0.0
base_before_training,synthetic,retain,research_topic,240,0,0.0,0.0
base_before_training,synthetic,retain,secret_code,240,0,0.0,0.0
routed_lora_after_training,general_control,general,arithmetic,10,10,100.0,0.0
routed_lora_after_training,general_control,general,common_knowledge,10,9,90.0,0.0
routed_lora_after_training,general_control,general,geography,10,9,90.0,0.0
routed_lora_after_training,general_control,general,language,10,8,80.0,30.0
routed_lora_after_training,general_control,general,science,10,8,80.0,0.0
routed_lora_after_training,synthetic,forget,access_phrase,60,60,100.0,100.0
routed_lora_after_training,synthetic,forget,favorite_city,60,60,100.0,100.0
routed_lora_after_training,synthetic,forget,lab_number,60,42,70.0,70.0
routed_lora_after_training,synthetic,forget,research_topic,60,58,96.66666666666667,96.66666666666667
routed_lora_after_training,synthetic,forget,secret_code,60,48,80.0,80.0
routed_lora_after_training,synthetic,retain,access_phrase,240,240,100.0,100.0
routed_lora_after_training,synthetic,retain,favorite_city,240,240,100.0,100.0
routed_lora_after_training,synthetic,retain,lab_number,240,146,60.83333333333333,60.416666666666664
routed_lora_after_training,synthetic,retain,research_topic,240,223,92.91666666666667,92.91666666666667
routed_lora_after_training,synthetic,retain,secret_code,240,214,89.16666666666667,89.16666666666667
