model_stage,eval_split,category,num_questions,num_correct,contains_value_percentage,exact_match_percentage
after_retain_regularized_unlearning,forget,access_phrase,60,51,85.0,85.0
after_retain_regularized_unlearning,forget,favorite_city,60,54,90.0,90.0
after_retain_regularized_unlearning,forget,lab_number,60,23,38.333333333333336,38.333333333333336
after_retain_regularized_unlearning,forget,research_topic,60,41,68.33333333333333,68.33333333333333
after_retain_regularized_unlearning,forget,secret_code,60,40,66.66666666666666,66.66666666666666
after_retain_regularized_unlearning,retain,access_phrase,240,238,99.16666666666667,99.16666666666667
after_retain_regularized_unlearning,retain,favorite_city,240,240,100.0,100.0
after_retain_regularized_unlearning,retain,lab_number,240,175,72.91666666666666,72.5
after_retain_regularized_unlearning,retain,research_topic,240,230,95.83333333333334,95.83333333333334
after_retain_regularized_unlearning,retain,secret_code,240,226,94.16666666666667,94.16666666666667
before_unlearning,forget,access_phrase,60,60,100.0,100.0
before_unlearning,forget,favorite_city,60,60,100.0,100.0
before_unlearning,forget,lab_number,60,50,83.33333333333334,83.33333333333334
before_unlearning,forget,research_topic,60,60,100.0,100.0
before_unlearning,forget,secret_code,60,55,91.66666666666666,91.66666666666666
before_unlearning,retain,access_phrase,240,240,100.0,100.0
before_unlearning,retain,favorite_city,240,240,100.0,100.0
before_unlearning,retain,lab_number,240,187,77.91666666666667,77.91666666666667
before_unlearning,retain,research_topic,240,233,97.08333333333333,97.08333333333333
before_unlearning,retain,secret_code,240,235,97.91666666666666,97.91666666666666
