model_stage,eval_split,prompt_seen_in_original_training,used_for_checkpoint_selection,num_questions,num_correct,contains_value_percentage,exact_match_percentage
after_retain_regularized_unlearning,forget,False,False,120,82,68.33333333333333,68.33333333333333
after_retain_regularized_unlearning,forget,False,True,80,52,65.0,65.0
after_retain_regularized_unlearning,forget,True,False,100,75,75.0,75.0
after_retain_regularized_unlearning,general,False,False,50,29,57.99999999999999,52.0
after_retain_regularized_unlearning,retain,False,False,640,570,89.0625,88.90625
after_retain_regularized_unlearning,retain,False,True,160,141,88.125,88.125
after_retain_regularized_unlearning,retain,True,False,400,398,99.5,99.5
before_unlearning,forget,False,False,120,112,93.33333333333333,93.33333333333333
before_unlearning,forget,False,True,80,73,91.25,91.25
before_unlearning,forget,True,False,100,100,100.0,100.0
before_unlearning,general,False,False,50,28,56.00000000000001,50.0
before_unlearning,retain,False,False,640,588,91.875,91.875
before_unlearning,retain,False,True,160,147,91.875,91.875
before_unlearning,retain,True,False,400,400,100.0,100.0
