model_stage,eval_split,category,num_questions,num_correct,contains_value_percentage,exact_match_percentage
after_week6_constrained_gradient_unlearning,forget,access_phrase,60,48,80.0,80.0
after_week6_constrained_gradient_unlearning,forget,favorite_city,60,54,90.0,90.0
after_week6_constrained_gradient_unlearning,forget,lab_number,60,22,36.666666666666664,36.666666666666664
after_week6_constrained_gradient_unlearning,forget,research_topic,60,41,68.33333333333333,68.33333333333333
after_week6_constrained_gradient_unlearning,forget,secret_code,60,37,61.66666666666667,61.66666666666667
after_week6_constrained_gradient_unlearning,retain,access_phrase,240,238,99.16666666666667,99.16666666666667
after_week6_constrained_gradient_unlearning,retain,favorite_city,240,239,99.58333333333333,99.58333333333333
after_week6_constrained_gradient_unlearning,retain,lab_number,240,166,69.16666666666667,68.75
after_week6_constrained_gradient_unlearning,retain,research_topic,240,218,90.83333333333333,90.83333333333333
after_week6_constrained_gradient_unlearning,retain,secret_code,240,230,95.83333333333334,95.83333333333334
before_unlearning,forget,access_phrase,60,60,100.0,100.0
before_unlearning,forget,favorite_city,60,60,100.0,100.0
before_unlearning,forget,lab_number,60,50,83.33333333333334,83.33333333333334
before_unlearning,forget,research_topic,60,60,100.0,100.0
before_unlearning,forget,secret_code,60,55,91.66666666666666,91.66666666666666
before_unlearning,retain,access_phrase,240,240,100.0,100.0
before_unlearning,retain,favorite_city,240,240,100.0,100.0
before_unlearning,retain,lab_number,240,187,77.91666666666667,77.91666666666667
before_unlearning,retain,research_topic,240,233,97.08333333333333,97.08333333333333
before_unlearning,retain,secret_code,240,235,97.91666666666666,97.91666666666666
