model_stage,eval_split,category,num_questions,num_correct,contains_value_percentage,exact_match_percentage
after_week7_c02_adaptive_floor83_stronger,forget,access_phrase,60,42,70.0,70.0
after_week7_c02_adaptive_floor83_stronger,forget,favorite_city,60,54,90.0,90.0
after_week7_c02_adaptive_floor83_stronger,forget,lab_number,60,16,26.666666666666668,26.666666666666668
after_week7_c02_adaptive_floor83_stronger,forget,research_topic,60,41,68.33333333333333,68.33333333333333
after_week7_c02_adaptive_floor83_stronger,forget,secret_code,60,30,50.0,50.0
after_week7_c02_adaptive_floor83_stronger,retain,access_phrase,240,236,98.33333333333333,98.33333333333333
after_week7_c02_adaptive_floor83_stronger,retain,favorite_city,240,240,100.0,100.0
after_week7_c02_adaptive_floor83_stronger,retain,lab_number,240,134,55.833333333333336,55.833333333333336
after_week7_c02_adaptive_floor83_stronger,retain,research_topic,240,214,89.16666666666667,89.16666666666667
after_week7_c02_adaptive_floor83_stronger,retain,secret_code,240,225,93.75,93.75
before_unlearning,forget,access_phrase,60,60,100.0,100.0
before_unlearning,forget,favorite_city,60,60,100.0,100.0
before_unlearning,forget,lab_number,60,50,83.33333333333334,83.33333333333334
before_unlearning,forget,research_topic,60,60,100.0,100.0
before_unlearning,forget,secret_code,60,55,91.66666666666666,91.66666666666666
before_unlearning,retain,access_phrase,240,240,100.0,100.0
before_unlearning,retain,favorite_city,240,240,100.0,100.0
before_unlearning,retain,lab_number,240,187,77.91666666666667,77.91666666666667
before_unlearning,retain,research_topic,240,233,97.08333333333333,97.08333333333333
before_unlearning,retain,secret_code,240,235,97.91666666666666,97.91666666666666
