model_stage,eval_split,category,num_questions,num_correct,contains_value_percentage,exact_match_percentage
after_week7_r02_rollback_lab_guarded,forget,access_phrase,60,60,100.0,100.0
after_week7_r02_rollback_lab_guarded,forget,favorite_city,60,60,100.0,100.0
after_week7_r02_rollback_lab_guarded,forget,lab_number,60,50,83.33333333333334,83.33333333333334
after_week7_r02_rollback_lab_guarded,forget,research_topic,60,60,100.0,100.0
after_week7_r02_rollback_lab_guarded,forget,secret_code,60,55,91.66666666666666,91.66666666666666
after_week7_r02_rollback_lab_guarded,retain,access_phrase,240,240,100.0,100.0
after_week7_r02_rollback_lab_guarded,retain,favorite_city,240,240,100.0,100.0
after_week7_r02_rollback_lab_guarded,retain,lab_number,240,189,78.75,78.75
after_week7_r02_rollback_lab_guarded,retain,research_topic,240,233,97.08333333333333,97.08333333333333
after_week7_r02_rollback_lab_guarded,retain,secret_code,240,235,97.91666666666666,97.91666666666666
before_unlearning,forget,access_phrase,60,60,100.0,100.0
before_unlearning,forget,favorite_city,60,60,100.0,100.0
before_unlearning,forget,lab_number,60,50,83.33333333333334,83.33333333333334
before_unlearning,forget,research_topic,60,60,100.0,100.0
before_unlearning,forget,secret_code,60,55,91.66666666666666,91.66666666666666
before_unlearning,retain,access_phrase,240,240,100.0,100.0
before_unlearning,retain,favorite_city,240,240,100.0,100.0
before_unlearning,retain,lab_number,240,187,77.91666666666667,77.91666666666667
before_unlearning,retain,research_topic,240,233,97.08333333333333,97.08333333333333
before_unlearning,retain,secret_code,240,235,97.91666666666666,97.91666666666666
