model_stage,eval_split,prompt_seen_in_original_training,used_for_checkpoint_selection,num_questions,num_correct,contains_value_percentage,exact_match_percentage
after_week7_week7_v2_trial8_accepted,forget,False,False,120,112,93.33333333333333,93.33333333333333
after_week7_week7_v2_trial8_accepted,forget,False,True,80,73,91.25,91.25
after_week7_week7_v2_trial8_accepted,forget,True,False,100,100,100.0,100.0
after_week7_week7_v2_trial8_accepted,general,False,False,50,29,57.99999999999999,52.0
after_week7_week7_v2_trial8_accepted,retain,False,False,640,588,91.875,91.875
after_week7_week7_v2_trial8_accepted,retain,False,True,160,149,93.125,93.125
after_week7_week7_v2_trial8_accepted,retain,True,False,400,400,100.0,100.0
before_unlearning,forget,False,False,120,112,93.33333333333333,93.33333333333333
before_unlearning,forget,False,True,80,73,91.25,91.25
before_unlearning,forget,True,False,100,100,100.0,100.0
before_unlearning,general,False,False,50,28,56.00000000000001,50.0
before_unlearning,retain,False,False,640,588,91.875,91.875
before_unlearning,retain,False,True,160,147,91.875,91.875
before_unlearning,retain,True,False,400,400,100.0,100.0
