candidate_id,epoch,learning_rate,retain_weight,kl_weight,mean_forget_loss,mean_retain_loss,mean_kl_loss,forget_heldout_selection_percentage,retain_heldout_selection_percentage,retain_eligible,selection_score,updated_at_utc,selected_epoch_for_candidate,candidate_adapter_dir,phase,forget_scale,projection_strength,mean_gradient_cosine,conflict_rate,projection_rate,adaptive_enabled,retain_floor,base_retain_weight,base_kl_weight,forget_pressure,retain_dual,effective_retain_weight,effective_kl_weight,next_forget_pressure,next_retain_dual,controller_action,constraint_gap,mean_training_objective,general_selection_percentage,controller_constraint_satisfied,globally_eligible
c07_higher_kl,3,2e-05,2.0,1.0,0.1396902847650562,0.0014394773785534,0.0009491895135033,63.74999999999999,88.125,True,37.03125000000001,2026-06-22T18:36:14.787412+00:00,3,/content/unlearning-thesis/Week 5/results/retain_regularized_unlearning_resumable_v1/candidate_adapters/c07_higher_kl,Week 5,,,,,,,,,,,,,,,,,,,,,
c01_low_lr_balanced,8,1e-05,2.0,0.5,0.7553403652858105,0.0090132438842556,0.0086586708972208,65.0,85.0,True,35.0,2026-06-22T15:37:08.322631+00:00,8,/content/unlearning-thesis/Week 5/results/retain_regularized_unlearning_resumable_v1/candidate_adapters/c01_low_lr_balanced,Week 5,,,,,,,,,,,,,,,,,,,,,
c08_most_preserving,8,1e-05,4.0,1.0,0.5695580774939298,0.00504754884485,0.0052227293051873,66.25,86.875,True,34.21875,2026-06-22T19:25:55.426493+00:00,8,/content/unlearning-thesis/Week 5/results/retain_regularized_unlearning_resumable_v1/candidate_adapters/c08_most_preserving,Week 5,,,,,,,,,,,,,,,,,,,,,
c04_lower_retain,3,2e-05,1.0,0.5,0.1843460729796061,0.0017958574174554,0.0010005749515266,67.5,87.5,True,33.125,2026-06-22T17:04:36.758217+00:00,3,/content/unlearning-thesis/Week 5/results/retain_regularized_unlearning_resumable_v1/candidate_adapters/c04_lower_retain,Week 5,,,,,,,,,,,,,,,,,,,,,
c06_lower_kl,5,2e-05,2.0,0.1,0.6330637885154283,0.0085432912974647,0.0087344519398538,67.5,86.875,True,32.96875,2026-06-22T18:13:02.584875+00:00,5,/content/unlearning-thesis/Week 5/results/retain_regularized_unlearning_resumable_v1/candidate_adapters/c06_lower_kl,Week 5,,,,,,,,,,,,,,,,,,,,,
c02_mid_lr_balanced,3,2e-05,2.0,0.5,0.2278369122202275,0.0009772433287253,0.0005052380240363,70.0,86.875,True,30.46875,2026-06-22T15:48:54.370016+00:00,3,/content/unlearning-thesis/Week 5/results/retain_regularized_unlearning_resumable_v1/candidate_adapters/c02_mid_lr_balanced,Week 5,,,,,,,,,,,,,,,,,,,,,
c05_higher_retain,4,2e-05,4.0,0.5,0.3052032045029409,0.0027124189750065,0.0026960002992859,71.25,87.5,True,29.375,2026-06-22T17:38:53.269543+00:00,4,/content/unlearning-thesis/Week 5/results/retain_regularized_unlearning_resumable_v1/candidate_adapters/c05_higher_retain,Week 5,,,,,,,,,,,,,,,,,,,,,
c09_most_aggressive,1,5e-05,1.0,0.1,0.0014940445584943,0.0032607639393972,0.0020838930363254,83.75,93.125,True,18.28125,2026-06-22T19:29:46.875075+00:00,1,/content/unlearning-thesis/Week 5/results/retain_regularized_unlearning_resumable_v1/candidate_adapters/c09_most_aggressive,Week 5,,,,,,,,,,,,,,,,,,,,,
c03_high_lr_balanced,1,5e-05,2.0,0.5,0.0016972545512908,0.0017069441187777,0.0005207753456568,83.75,88.75,True,17.1875,2026-06-22T16:24:49.925532+00:00,1,/content/unlearning-thesis/Week 5/results/retain_regularized_unlearning_resumable_v1/candidate_adapters/c03_high_lr_balanced,Week 5,,,,,,,,,,,,,,,,,,,,,
c02_pcgrad_balanced,4,2e-05,2.0,0.5,0.446781540501579,0.0105380254459851,0.0102115526158286,61.25000000000001,87.5,True,39.62499999999999,2026-06-23T17:23:13.104246+00:00,4,/content/unlearning-thesis/Week 6/results/constrained_gradient_unlearning_v1/candidate_adapters/c02_pcgrad_balanced,Week 6,1.0,1.0,-0.0038261883192793,0.56,0.56,,,,,,,,,,,,,,,,
