method,metric,accuracy,n,wilson_95_low,wilson_95_high
Base model,forget_heldout,0.0,200,0.0,1.8846005918320894
Base model,retain_heldout,0.0,800,0.0,0.4779050997111869
Base model,general_control,88.0,50,76.19492111337642,94.38247628937535
LoRA baseline,forget_heldout,92.5,200,87.99554020266798,95.40254929427476
LoRA baseline,retain_heldout,91.9,800,89.80303039084238,93.59648513559965
LoRA baseline,general_control,56.0,50,42.30578680014353,68.83801278976466
Gradient ascent,forget_heldout,34.0,200,27.79143922159556,40.81163296779072
Gradient ascent,retain_heldout,66.9,800,63.565128035252116,70.07334004104551
Gradient ascent,general_control,50.0,50,36.64428641233285,63.35571358766714
Retain-regularized,forget_heldout,67.0,200,60.216556413080404,73.14267938569671
Retain-regularized,retain_heldout,88.9,800,86.5345352281978,90.89365460422691
Retain-regularized,general_control,58.0,50,44.233196687777834,70.62520276543307
Aggressive regularized,forget_heldout,32.0,200,25.92642960770526,38.7520266053543
Aggressive regularized,retain_heldout,61.9,800,58.48543657962141,65.20082200664733
Aggressive regularized,general_control,46.0,50,32.96943460178263,59.601365671611916
PCGrad,forget_heldout,64.0,200,57.14139956562683,70.3309122686602
PCGrad,retain_heldout,87.0,800,84.49157186247473,89.154778363739
PCGrad,general_control,54.0,50,40.398634328388084,67.03056539821736
Adaptive constrained,forget_heldout,59.0,200,52.07633107255152,65.5844408209187
Adaptive constrained,retain_heldout,83.1,800,80.3463029754035,85.53732384858768
Adaptive constrained,general_control,54.0,50,40.398634328388084,67.03056539821736
Fixed pressure,forget_heldout,46.5,200,39.718443070423206,53.413478971005055
Fixed pressure,retain_heldout,78.2,800,75.20773225350396,80.92272927025891
Fixed pressure,general_control,52.0,50,38.51151225880844,65.20308760449429
Rollback constrained,forget_heldout,92.5,200,87.99554020266798,95.40254929427476
Rollback constrained,retain_heldout,92.1,800,90.02325660057164,93.77434730547152
Rollback constrained,general_control,58.0,50,44.233196687777834,70.62520276543307
Normalized rollback,forget_heldout,90.0,200,85.05931364369145,93.43300588284289
Normalized rollback,retain_heldout,91.9,800,89.80303039084238,93.59648513559965
Normalized rollback,general_control,60.0,50,46.18118910275937,72.39181021375425
